"Timestamp","Gender","Age","Did you play PUBG before the ban?","If yes, then the number of average hours you played pubg in a day?","Are you happy with the ban on PUBG?","Are you against the ban of pubg?","Are you shifting towards any other game after the ban on pubg?","Which games are you shifting towards after the ban on pubg?","Can any of these games replace pubg?","Are you excited about FAU-G( Indian rival to PUBG Mobile (releasing soon))","Will you play FAU-G( Indian rival to PUBG Mobile (releasing soon))?","If yes then why will you play the FAU-G game?"
"2020/09/06 10:40:02 pm GMT+5:30","Male","11","Yes","1-2","no","no","Yes","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 10:42:04 pm GMT+5:30","Male","23","Yes","1-2","no","no","Maybe","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 10:42:26 pm GMT+5:30","Male","24","Yes","1-2","no","Yes","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 10:46:28 pm GMT+5:30","Female","21","Yes","0-1","yes","no","Maybe","Garena Free Fire","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 10:52:57 pm GMT+5:30","Female","20","No","0-1","yes","no","No","","Nothing can replace pubg","no","No",""
"2020/09/06 11:07:40 pm GMT+5:30","Male","22","Yes","0-1","no","Yes","Maybe","Call of Duty Mobile","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 11:10:12 pm GMT+5:30","Female","21","Yes","1-2","no","Yes","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/06 11:13:04 pm GMT+5:30","Male","19","No","","yes","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/07 12:09:26 am GMT+5:30","Male","21","No","0-1","yes","no","No","","","no","No",""
"2020/09/07 4:31:57 am GMT+5:30","Male","22","No","0-1","yes","no","Yes","Fortnite Battle Royale","Call of Duty Mobile;Nothing can replace pubg","no","No",""
"2020/09/07 6:40:38 am GMT+5:30","Male","22","Yes","1-2","yes","no","Yes","Call of Duty Mobile","Call of Duty Mobile;FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/07 6:48:42 am GMT+5:30","Male","23","Yes","1-2","yes","no","Maybe","Call of Duty Mobile","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/07 7:10:58 am GMT+5:30","Female","19","No","","yes","no","No","","Call of Duty Mobile","no","No","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/07 9:15:23 am GMT+5:30","Male","20","No","","yes","no","No","","","no","No",""
"2020/09/07 9:16:16 am GMT+5:30","Female","19","No","","no","no","No","","FAU-G Game: Indian rival to PUBG Mobile (releasing soon)","no","No","to support atma nirbhar bharat moment only"
"2020/09/07 5:46:52 pm GMT+5:30","Male","20","No","","no","Yes","Yes","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/07 9:55:03 pm GMT+5:30","Male","22","Yes","2-3","yes","no","No","","Nothing can replace pubg","Yes","Yes","I belive in the indian game developers that they have done something great this time and i also support atma nirbhar bharat moment"
"2020/09/07 10:47:38 pm GMT+5:30","Male","20","No","","yes","no","","","","Yes","No",""
